LIMS Heartbeat,SYSTEM,3/17/15 7:32 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:30 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:28 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:26 PM
Authorized result sent to ESB,JEROMYP,3/17/15 7:25 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:24 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:22 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:20 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:18 PM
Receipt sent to MES System,AMSAVAGE,3/17/15 7:16 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:16 PM
Receipt sent to MES System,DAVIDEF,3/17/15 7:14 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:14 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:12 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:10 PM
Receipt sent to MES System,BROOKS19,3/17/15 7:09 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:08 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:06 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:04 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:02 PM
Lot Disposition sent to ESB,MICHAERE,3/17/15 7:00 PM
"Lot Disposition sent to BAHR, Heartbeat",SYSTEM,3/17/15 7:00 PM
Lot Sample Updated or Logged,SYSTEM,3/17/15 7:00 PM
LIMS Heartbeat,SYSTEM,3/17/15 7:00 PM
Receipt sent to MES System,NGW4,3/17/15 6:59 PM
Authorized result sent to ESB,MICHAERE,3/17/15 6:59 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:58 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:56 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:54 PM
Authorized result sent to ESB,JEROMYP,3/17/15 6:53 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:52 PM
"Lot Disposition sent to BAHR, Heartbeat",SYSTEM,3/17/15 6:50 PM
Lot Sample Updated or Logged,SYSTEM,3/17/15 6:50 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:50 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:48 PM
Authorized result sent to ESB,JEROMYP,3/17/15 6:46 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:46 PM
Lot Sample Updated or Logged,SYSTEM,3/17/15 6:44 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:44 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:42 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:40 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:38 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:36 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:34 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:32 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:30 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:28 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:26 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:24 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:22 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:20 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:18 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:18 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:18 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:18 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:18 PM
Authorized result sent to ESB,NYAO,3/17/15 6:18 PM
Authorized result sent to ESB,NYAO,3/17/15 6:18 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:18 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:17 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:17 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:16 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:16 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:15 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:14 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:13 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:13 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:13 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:12 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:12 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:12 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:12 PM
Receipt sent to MES System,ELDRIDA1,3/17/15 6:11 PM
Authorized result sent to ESB,AREVALO,3/17/15 6:11 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:10 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:08 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:08 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:08 PM
Authorized result sent to ESB,BOYCER3,3/17/15 6:07 PM
Authorized result sent to ESB,BOYCER3,3/17/15 6:07 PM
Authorized result sent to ESB,BOYCER3,3/17/15 6:07 PM
Authorized result sent to ESB,BOYCER3,3/17/15 6:07 PM
Receipt sent to MES System,MEYERD23,3/17/15 6:06 PM
Lot Sample Updated or Logged,SYSTEM,3/17/15 6:06 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:06 PM
Lot Disposition sent to ESB,CLIFFS,3/17/15 6:04 PM
Authorized result sent to ESB,SCALLEN,3/17/15 6:04 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:04 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:02 PM
LIMS Heartbeat,SYSTEM,3/17/15 6:00 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:58 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:56 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:54 PM
Receipt sent to MES System,MEYERD23,3/17/15 5:53 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:52 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:50 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:49 PM
Lot Sample Updated or Logged,SYSTEM,3/17/15 5:48 PM
Authorized result sent to ESB,BOYCER3,3/17/15 5:48 PM
Authorized result sent to ESB,BOYCER3,3/17/15 5:48 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:48 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:46 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:44 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:42 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:42 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:40 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:38 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:38 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:36 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:36 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:34 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:32 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:31 PM
Receipt sent to MES System,HSALLEH,3/17/15 5:30 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:30 PM
Authorized result sent to ESB,CHIMP,3/17/15 5:28 PM
Authorized result sent to ESB,CHIMP,3/17/15 5:28 PM
Authorized result sent to ESB,CHIMP,3/17/15 5:28 PM
Authorized result sent to ESB,CHIMP,3/17/15 5:28 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:28 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:26 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:24 PM
Authorized result sent to ESB,SCALLEN,3/17/15 5:23 PM
LIMS Heartbeat,SYSTEM,3/17/15 5:22 PM
